"Date","Host","State","Collection","SiteName","SiteID","Path","Protocol","Port","Header","AuthAnon","AuthBasic","AuthWin","Status","runTime","PipeLineMode","bitEnabled","FileName"
"06202016","VMAEPHQWS210","engserv","","engserv","19","D:\WebContent\engserv","http","80","engserv-pr","False","False","True","Started","v4.0","Integrated","False","vmaephqws210_WebSiteProperties.csv"
"06202016","VMAEPHQWS210","engserv","","engserv","19","D:\WebContent\engserv","http","80","engserv","False","False","True","Started","v4.0","Integrated","False","vmaephqws210_WebSiteProperties.csv"
"06202016","VMAEPHQWS210","engserv","","engserv","19","D:\WebContent\engserv","http","80","engserv.aepsc.com","False","False","True","Started","v4.0","Integrated","False","vmaephqws210_WebSiteProperties.csv"
"06202016","VMAEPHQWS210","environmentalaudits","","environmentalaudits","64","D:\WebContent\environmentalaudits","http","80","environmentalaudits-pr","False","False","True","Started","v4.0","Integrated","False","vmaephqws210_WebSiteProperties.csv"
"06202016","VMAEPHQWS210","environmentalaudits","","environmentalaudits","64","D:\WebContent\environmentalaudits","http","80","environmentalaudits","False","False","True","Started","v4.0","Integrated","False","vmaephqws210_WebSiteProperties.csv"
"06202016","VMAEPHQWS210","environmentalaudits","","environmentalaudits","64","D:\WebContent\environmentalaudits","http","80","environmentalaudits.aepsc.com","False","False","True","Started","v4.0","Integrated","False","vmaephqws210_WebSiteProperties.csv"
"06202016","VMAEPHQWS210","erp","","erp","20","D:\WebContent\erp","http","80","erp-pr","False","False","True","Started","v4.0","Integrated","False","vmaephqws210_WebSiteProperties.csv"
"06202016","VMAEPHQWS210","erp","","erp","20","D:\WebContent\erp","http","80","erp","False","False","True","Started","v4.0","Integrated","False","vmaephqws210_WebSiteProperties.csv"
"06202016","VMAEPHQWS210","erp","","erp","20","D:\WebContent\erp","http","80","erp.aepsc.com","False","False","True","Started","v4.0","Integrated","False","vmaephqws210_WebSiteProperties.csv"
"06202016","VMAEPHQWS210","ethics","","ethics","21","D:\WebContent\ethics","http","80","ethics-pr","False","False","True","Started","v4.0","Integrated","False","vmaephqws210_WebSiteProperties.csv"
"06202016","VMAEPHQWS210","ethics","","ethics","21","D:\WebContent\ethics","http","80","ethics","False","False","True","Started","v4.0","Integrated","False","vmaephqws210_WebSiteProperties.csv"
"06202016","VMAEPHQWS210","ethics","","ethics","21","D:\WebContent\ethics","http","80","ethics.aepsc.com","False","False","True","Started","v4.0","Integrated","False","vmaephqws210_WebSiteProperties.csv"
"06202016","VMAEPHQWS210","exweblog","","exweblog","85","D:\WebContent\exweblog","http","80","exweblog-pr","False","False","True","Started","v4.0","Integrated","True","vmaephqws210_WebSiteProperties.csv"
"06202016","VMAEPHQWS210","exweblog","","exweblog","85","D:\WebContent\exweblog","http","80","exweblog","False","False","True","Started","v4.0","Integrated","True","vmaephqws210_WebSiteProperties.csv"
"06202016","VMAEPHQWS210","exweblog","","exweblog","85","D:\WebContent\exweblog","http","80","exweblog.aepsc.com","False","False","True","Started","v4.0","Integrated","True","vmaephqws210_WebSiteProperties.csv"
"06202016","VMAEPHQWS210","fed","","fed","22","D:\WebContent\fed","http","80","fed-pr","False","False","True","Started","v4.0","Integrated","False","vmaephqws210_WebSiteProperties.csv"
"06202016","VMAEPHQWS210","fed","","fed","22","D:\WebContent\fed","http","80","fed","False","False","True","Started","v4.0","Integrated","False","vmaephqws210_WebSiteProperties.csv"
"06202016","VMAEPHQWS210","fed","","fed","22","D:\WebContent\fed","http","80","fed.aepsc.com","False","False","True","Started","v4.0","Integrated","False","vmaephqws210_WebSiteProperties.csv"
"06202016","VMAEPHQWS210","finance","","finance","65","D:\WebContent\finance","http","80","finance-pr","False","False","True","Started","v4.0","Integrated","False","vmaephqws210_WebSiteProperties.csv"
"06202016","VMAEPHQWS210","finance","","finance","65","D:\WebContent\finance","http","80","finance","False","False","True","Started","v4.0","Integrated","False","vmaephqws210_WebSiteProperties.csv"
"06202016","VMAEPHQWS210","finance","","finance","65","D:\WebContent\finance","http","80","finance.aepsc.com","False","False","True","Started","v4.0","Integrated","False","vmaephqws210_WebSiteProperties.csv"
"06202016","VMAEPHQWS210","fleet","","fleet","23","D:\WebContent\fleet","http","80","fleet-pr","False","False","True","Started","v4.0","Integrated","False","vmaephqws210_WebSiteProperties.csv"
"06202016","VMAEPHQWS210","fleet","","fleet","23","D:\WebContent\fleet","http","80","fleet","False","False","True","Started","v4.0","Integrated","False","vmaephqws210_WebSiteProperties.csv"
